%"Collected By Brett Hamlin Oct 19, 2009, Calumet, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.237271	-88.49519	374.901	4289.114
47.237208	-88.495277	373.78	4298.43
47.237186	-88.495475	376.55	4313.022
47.237153	-88.495579	379.651	4321.589
47.237001	-88.495789	386.08	4344.821
47.236885	-88.495921	392.192	4361.138
47.236739	-88.49606	397.171	4380.761
47.236692	-88.496123	399.022	4387.732
47.236635	-88.496297	399.481	4402.016
47.236619	-88.496348	400.372	4406.205
47.236553	-88.496526	405.382	4421.412
47.236401	-88.49656	397.929	4437.205
47.23637	-88.496541	393.579	4440.628
47.236139	-88.496498	382.547	4467.853
47.236077	-88.496591	382.298	4477.436
47.235983	-88.496767	381.328	4494.304
47.235975	-88.496983	377.297	4510.803
47.235918	-88.49726	376.487	4532.979
47.235892	-88.497517	375.126	4552.709
47.235929	-88.497669	373.366	4564.951
47.235973	-88.497724	372.496	4571.314
47.236054	-88.497971	372.436	4592.12
47.236094	-88.498117	372.546	4603.978
47.236186	-88.498328	372.126	4623.004
47.236306	-88.498589	372.297	4646.873
47.236466	-88.498734	373.487	4668.014
47.236675	-88.498782	374.727	4691.547
47.23676	-88.498948	375.217	4707.347
47.236893	-88.499124	373.356	4727.261
47.236998	-88.499378	375.447	4749.64
47.237098	-88.499592	375.536	4769.353
47.237234	-88.499798	375.045	4791.131
47.237302	-88.499951	374.485	4804.941
47.237443	-88.499999	375.736	4821.219
47.237613	-88.500063	373.795	4841.077
47.237693	-88.500184	373.775	4853.789
47.237676	-88.500345	374.566	4867.036
47.237619	-88.50043	376.077	4875.748
47.237579	-88.500469	376.988	4881.077
47.237458	-88.500584	379.597	4897.331
47.237416	-88.500662	381.408	4904.778
47.237415	-88.500837	380.426	4918.368
47.237419	-88.501107	381.537	4938.969
47.237371	-88.501242	380.396	4950.52
47.237281	-88.50128	382.877	4960.836
47.23715	-88.501397	385.448	4977.938
47.236918	-88.501561	378.415	5006.799
47.236868	-88.501561	378.206	5012.252
47.236745	-88.501556	375.574	5025.903
47.236517	-88.501417	372.145	5053.417
47.236447	-88.501297	371.955	5065.361
47.236397	-88.501043	372.286	5085.81
47.236315	-88.500949	372.616	5097.432
47.236269	-88.500877	372.797	5104.898
47.236217	-88.500731	372.365	5117.326
47.236173	-88.500477	371.454	5137.138
47.236096	-88.500284	369.743	5154.991
47.235982	-88.500244	369.365	5167.962
47.235885	-88.500211	370.816	5179.024
47.235795	-88.500053	371.145	5194.925
47.235777	-88.49976	370.465	5217.343
47.235699	-88.499668	370.035	5228.631
47.235616	-88.499672	372.146	5237.712
47.235545	-88.499783	373.467	5249.658
47.235603	-88.499945	373.486	5264.042
47.235562	-88.500122	374.766	5278.201
47.2356     -88.500253	374.405	5289.193
47.235635	-88.500459	374.375	5305.378
47.235609	-88.500693	374.495	5323.311
47.235606	-88.500758	374.495	5328.181
47.235706	-88.500956	374.205	5347.849
47.235811	-88.501085	372.945	5363.427
47.23584	-88.501181	372.054	5371.378
47.235914	-88.501557	370.555	5400.957
47.236006	-88.501721	369.185	5417.376
47.236174	-88.501811	369.876	5437.15
47.236397	-88.501916	368.044	5463.277
47.236472	-88.501946	367.425	5471.888
47.236694	-88.502136	368.015	5500.708
47.236887	-88.502393	367.254	5529.708
47.237055	-88.502454	366.164	5549.198
47.237205	-88.502516	365.854	5566.639
47.237395	-88.502642	366.154	5590.003
47.237439	-88.502638	366.224	5594.91
47.237533	-88.502611	366.164	5605.536
47.237703	-88.502659	365.854	5625.49
47.237753	-88.502832	366.864	5639.903
47.237764	-88.503142	367.925	5663.636
47.237795	-88.503351	368.685	5680.412
47.237678	-88.503509	371.416	5698.164
47.237542	-88.503567	371.735	5714.07
47.237501	-88.503555	371.625	5718.719
47.237332	-88.503459	370.485	5739.142
47.237121	-88.503413	369.525	5763.457
47.237025	-88.503553	369.775	5778.723
47.236941	-88.503793	370.655	5799.257
47.236918	-88.504032	370.965	5817.938
47.2369     -88.504317	370.454	5839.971
47.236875	-88.504381	370.394	5845.506
47.23679	-88.504577	371.905	5863.161
47.236752	-88.50486	373.436	5885.222
47.236737	-88.504992	373.355	5895.351
47.236647	-88.505182	374.816	5913.184
47.2366     -88.505278	374.415	5922.091
47.23662	-88.505522	373.505	5940.791
47.23668	-88.505939	371.635	5972.965
47.236707	-88.506201	373.966	5993.936
47.236685	-88.506343	374.766	6004.954
47.236674	-88.506488	375.906	6016.04
47.236566	-88.506733	378.407	6040.22
47.236456	-88.506716	375.306	6052.05
47.23633	-88.5067	371.465	6066.336
47.236252	-88.506664	369.424	6075.3
47.236162	-88.506557	368.693	6087.99
47.236072	-88.506488	368.233	6099.348
47.235912	-88.506461	367.554	6117.156
47.235873	-88.506483	367.784	6121.503
47.235722	-88.506683	365.883	6143.741
47.235609	-88.506791	369.235	6158.588
47.235507	-88.507035	371.275	6181.429
47.235562	-88.507254	369.185	6198.756
47.235729	-88.507302	367.545	6217.812
47.235855	-88.507334	364.854	6232.415
47.235917	-88.507381	363.733	6240.016
47.236094	-88.50742	364.334	6259.792
47.236253	-88.507446	367.155	6277.629
47.236394	-88.50739	367.055	6293.881
47.236528	-88.507334	367.435	6309.396
47.23662	-88.507187	367.334	6324.667
47.236637	-88.506973	366.914	6340.966
47.236717	-88.506822	369.195	6355.76
47.23685	-88.506792	364.792	6370.866
47.236934	-88.506827	363.282	6380.59
47.23708	-88.506775	361.551	6398.058
47.237103	-88.50674	361.622	6401.669
47.237104	-88.506492	364.243	6421.469
47.237198	-88.506359	365.534	6436.528
47.237229	-88.506357	366.193	6439.904
47.237398	-88.506465	360.731	6460.9
47.23745	-88.506712	360.253	6480.669
47.237576	-88.506876	360.063	6499.417
47.237629	-88.506988	358.772	6509.717
47.237731	-88.507264	357.903	6533.914
47.237894	-88.507432	355.813	6556.197
47.237917	-88.507482	355.803	6560.763
47.238047	-88.507855	353.813	6592.623
47.238069	-88.508118	353.252	6612.716
47.238179	-88.50843	351.893	6639.579
47.238229	-88.508731	351.643	6663.809
47.23825	-88.508988	351.243	6683.893
47.238327	-88.50913	352.404	6697.629
47.238431	-88.509263	353.034	6713.004
47.238545	-88.50923	354.344	6726.685
47.238601	-88.509121	354.734	6737.039
47.2387     -88.508833	356.053	6761.519
47.238743	-88.508637	356.384	6777.191
47.238866	-88.50843	358.064	6798.189
47.238895	-88.508391	358.555	6802.569
47.239056	-88.508146	361.094	6828.694
47.239141	-88.507963	361.084	6845.826
47.239198	-88.507892	361.374	6854.139
47.239309	-88.50766	361.434	6875.55
47.239281	-88.507483	362.555	6889.414
47.239248	-88.507204	363.394	6910.92
47.239371	-88.506982	364.424	6932.733
47.239454	-88.506904	364.394	6943.659
