%"Collected By Brett Hamlin Spt 23, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.110511	-88.543333	261.135	7030.625
47.110555	-88.543131	262.097	7046.77
47.110615	-88.542947	263.058	7062.231
47.110516	-88.542839	265.461	7076.372
47.110416	-88.542551	270.748	7101.242
47.110398	-88.54251	271.229	7104.833
47.11034	-88.542607	267.865	7117.087
47.110326	-88.542637	268.826	7118.227
47.110316	-88.542809	268.826	7136.555
47.110147	-88.542865	272.671	7155.156
47.110122	-88.542978	272.671	7163.973
47.110092	-88.543046	274.113	7169.38
47.109937	-88.54298	279.881	7185.993
47.109857	-88.543159	276.036	7202.556
47.10981	-88.543207	276.516	7208.038
47.109745	-88.542981	277.958	7227.663
47.109747	-88.542822	275.074	7239.949
47.10967	-88.542938	275.074	7252.458
47.109515	-88.542741	271.229	7281.25
47.10963	-88.542521	268.345	7302.331
47.109641	-88.542483	267.865	7305.381
47.109714	-88.542294	266.422	7322.73
47.109758	-88.54224	264.981	7329.068
47.109727	-88.542042	264.981	7345.562
47.109651	-88.541697	262.097	7373.472
47.109737	-88.541443	258.251	7395.972
47.109877	-88.541428	252.483	7411.981
47.109949	-88.541572	251.522	7425.304
47.109882	-88.541727	257.771	7438.564
47.109873	-88.541727	258.732	7438.733
47.109941	-88.541854	260.174	7451.355
47.110044	-88.541787	259.693	7464.98
47.110116	-88.54155	260.655	7484.805
47.110115	-88.541493	261.135	7489.083
47.110018	-88.541287	269.787	7507.286
47.110009	-88.541238	269.307	7511.223
47.109988	-88.540989	270.268	7530.232
47.109937	-88.540778	277.478	7547.218
47.109931	-88.540731	277.478	7550.903
47.10988	-88.540573	274.594	7564.146
47.109816	-88.540334	272.19	7583.802
47.109696	-88.540202	266.903	7604.869
47.109658	-88.540222	266.903	7609.352
47.109601	-88.540273	266.903	7616.829
47.109568	-88.540445	265.461	7630.58
47.109501	-88.540728	264.981	7653.179
47.10948	-88.540834	264.981	7661.19
47.10946	-88.540611	267.384	7677.509
47.109452	-88.54055	267.384	7682.21
47.109414	-88.54036	269.307	7696.597
47.109241	-88.540124	274.594	7722.197
47.109174	-88.539957	271.71	7736.728
47.108834	-88.539665	271.71	7780.359
47.108611	-88.539519	267.384	7807.588
47.108448	-88.539265	262.097	7834.295
47.108377	-88.539003	261.135	7855.554
47.108279	-88.538976	261.135	7868.709
47.10805	-88.538999	259.213	7896.497
47.10798	-88.538971	259.213	7904.602
47.107866	-88.538949	258.251	7917.383
47.107651	-88.53892	256.329	7941.559
47.107525	-88.538811	257.771	7957.763
47.107423	-88.538709	253.925	7972.166
47.107354	-88.538624	252.483	7981.323
47.107216	-88.538438	249.119	8002.029
