%"Collected By Brett Hamlin Nov 09, 2009, Hancock, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.156412	-88.619019	266.261	4437.23
47.156494	-88.618718	267.13	4461.897
47.156581	-88.618499	267.831	4481.162
47.156635	-88.618306	267.81	4496.997
47.156719	-88.618079	269.131	4516.596
47.15677	-88.618009	269.231	4524.362
47.156866	-88.617979	268.872	4535.095
47.156931	-88.617891	269.933	4545.596
47.156892	-88.617729	271.062	4558.702
47.156813	-88.617588	272.942	4572.666
47.156732	-88.617471	273.023	4585.122
47.156644	-88.617371	275.793	4597.417
47.156531	-88.617257	278.173	4612.577
47.156468	-88.617163	279.143	4622.765
47.156403	-88.617027	281.413	4635.342
47.156401	-88.617005	281.712	4637.013
47.156367	-88.616791	283.122	4653.839
47.156348	-88.616642	282.982	4665.228
47.156354	-88.616592	282.572	4668.949
47.156415	-88.616531	281.312	4676.494
47.156552	-88.616561	279.402	4692.531
47.156624	-88.616729	279.682	4707.654
47.156663	-88.616814	280.302	4715.331
47.156766	-88.616946	281.422	4730.531
47.156952	-88.617073	280.162	4753.377
47.157029	-88.617105	279.301	4762.332
47.157186	-88.617236	278.371	4782.749
47.157258	-88.617315	277.781	4792.776
47.15736	-88.617419	277.462	4807.194
47.157467	-88.617372	275.872	4819.681
47.157477	-88.617169	276.582	4835.477
47.157431	-88.616937	279.393	4853.875
47.157503	-88.616747	281.653	4870.441
47.15752	-88.616627	282.644	4879.852
47.157588	-88.616513	282.042	4890.977
47.157731	-88.616467	280.832	4907.087
47.157817	-88.616459	280.042	4916.608
47.157953	-88.616449	278.931	4931.839
47.158036	-88.616567	279.982	4944.666
47.158094	-88.616701	280.833	4956.797
47.158101	-88.616844	280.783	4967.613
47.15821	-88.616952	282.123	4982.654
47.158233	-88.617066	283.353	4992.43
47.158281	-88.617234	281.992	5007.4
47.158325	-88.617297	281.602	5014.337
47.158441	-88.617516	281.912	5035.725
47.158552	-88.617838	282.012	5063.194
47.158629	-88.617954	281.581	5075.5
47.158678	-88.618146	276.05	5090.856
47.158686	-88.618319	270.219	5103.927
47.158657	-88.618316	271.26	5107.093
47.158581	-88.618317	272.681	5115.73
47.158445	-88.618396	272.662	5131.956
47.158362	-88.618438	273.763	5141.767
47.158265	-88.618601	273.242	5158.107
47.158209	-88.618748	276.834	5169.917
47.158192	-88.618838	276.653	5176.975
47.158115	-88.619036	275.343	5194.722
47.158021	-88.619258	273.902	5214.664
47.157998	-88.619329	273.702	5220.62
47.157947	-88.619476	271.951	5233.173
